RUN_UUID,CLASS_NAME,FEEDBACK_TYPE,NUMBER,INPUT_TOKEN_COUNT,OUTPUT_TOKEN_COUNT
019c64cc-1a50-73dd-9b54-fbe1ffbd28ce,com.fasterxml.jackson.core.util.JsonParserSequence,MUTATION,5,7716,5508
019c64cc-1a50-73dd-9b54-fbe1ffbd28ce,com.fasterxml.jackson.core.util.JsonParserSequence,MUTATION,6,3421,2819
019c64cc-1a50-73dd-9b54-fbe1ffbd28ce,com.fasterxml.jackson.core.util.JsonParserSequence,MUTATION,7,3678,3518
019c64cc-1a50-73dd-9b54-fbe1ffbd28ce,com.fasterxml.jackson.core.util.JsonParserSequence,MUTATION,8,4101,4051
019c64cc-1a50-73dd-9b54-fbe1ffbd28ce,com.fasterxml.jackson.core.util.JsonParserSequence,MUTATION,9,4101,3984
019c64cc-1a50-73dd-9b54-fbe1ffbd28ce,com.fasterxml.jackson.core.util.JsonParserSequence,MUTATION,10,4101,4048
019c64dd-6b43-737f-980b-0bbe78ece49c,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,1,39855,1620
019c64dd-6b43-737f-980b-0bbe78ece49c,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,2,41801,3995
019c64dd-6b43-737f-980b-0bbe78ece49c,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,3,42969,5003
019c64dd-6b43-737f-980b-0bbe78ece49c,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,4,45772,7545
019c64dd-6b43-737f-980b-0bbe78ece49c,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,5,44034,5987
019c64dd-6b43-737f-980b-0bbe78ece49c,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,6,41584,2948
019c64dd-6b43-737f-980b-0bbe78ece49c,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,7,41584,3099
019c64dd-6b43-737f-980b-0bbe78ece49c,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,8,41750,3446
019c64dd-6b43-737f-980b-0bbe78ece49c,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,9,41909,3061
019c64dd-6b43-737f-980b-0bbe78ece49c,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,COVERAGE,10,41909,3618
019c64dd-6b43-737f-980b-0bbe78ece49c,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,INITIAL,0,27625,3388
019c64dd-6b43-737f-980b-0bbe78ece49c,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,MUTATION,1,151905,3450
019c64dd-6b43-737f-980b-0bbe78ece49c,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,MUTATION,2,156077,10951
019c64ec-734e-7bb5-b9bc-85f7b7ed1f14,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,1,7686,1636
019c64ec-734e-7bb5-b9bc-85f7b7ed1f14,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,2,15959,4104
019c64ec-734e-7bb5-b9bc-85f7b7ed1f14,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,3,45676,15414
019c64ec-734e-7bb5-b9bc-85f7b7ed1f14,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,4,15983,5349
019c64ec-734e-7bb5-b9bc-85f7b7ed1f14,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,5,16759,5858
019c64ec-734e-7bb5-b9bc-85f7b7ed1f14,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,6,8841,3216
019c64ec-734e-7bb5-b9bc-85f7b7ed1f14,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,7,8934,3005
019c64ec-734e-7bb5-b9bc-85f7b7ed1f14,com.fasterxml.jackson.core.util.TextBuffer,COVERAGE,8,8934,2910
